fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda
2018-09-30,USD,358025000,219731000,197596000,197596000,1,16471000,138294000,84849000,None,33899000,33899000,33899000,None,11998000,0,5664000,None,47974000,40961000,4303000,None,None,None,7013000,None,0,None,None,None,14467000,None,310051000,0,124837000,164000,16658159,5989000,None,None,None,None,4289000,1790000,-6275000,-176141000,None,-1790000,-200000,None,None,None,None,0,0,None,None,None,None,-200000,None,3999000,None,5499000,44806000,72992000,28186000,28186000,6884000,19298000,0,37726000,None,None,None,774000,None,None,None,4289000,7658000,1848000,None,5810000,None,7080000,11369000
2018-06-30,USD,351738000,210364000,193597000,193597000,1,10455000,141374000,87460000,None,33899000,33899000,33899000,None,12309000,0,6312000,None,48629000,41376000,6546000,None,None,None,7253000,None,0,None,None,None,14896000,None,303109000,0,119338000,164000,16645863,9322000,None,None,None,None,4347000,1893000,925000,-175741000,None,-1893000,-200000,None,None,None,None,0,0,None,None,None,None,0,None,7429000,None,6458000,43831000,72798000,28967000,28967000,8048000,17594000,0,35225000,None,None,None,661000,None,None,None,4347000,8709000,2280000,None,6429000,None,8606000,12953000
2018-03-31,USD,346231000,201501000,186168000,186168000,1,7924000,144730000,90247000,None,33899000,33899000,33899000,None,12280000,0,7409000,None,52452000,45321000,4952000,None,None,2668000,7131000,None,0,None,None,None,15744000,None,293779000,0,112880000,164000,16534053,10244000,None,None,None,None,4522000,1666000,-788000,448000,None,-1666000,-1615000,None,None,None,None,0,0,None,None,None,None,-1615000,None,6963000,None,4589000,45281000,74967000,29686000,29686000,6162000,18888000,0,38991000,None,None,None,493000,None,-201000,None,4522000,6655000,1865000,None,4790000,None,7990000,12512000
2017-12-31,USD,339038000,191133000,179205000,179205000,0,7136000,147905000,92374000,None,4606000,4606000,33899000,None,12481000,0,4792000,None,49632000,43351000,8844000,None,None,1710000,6281000,None,0,None,None,None,13423000,None,289406000,0,108569000,163000,16466000,18679000,None,None,None,None,4616000,5248000,-747000,3065000,None,-5548000,-185000,None,None,None,None,0,0,None,None,None,None,-183000,None,12946000,None,8417000,49437000,78085000,28648000,28648000,12635000,17399000,0,36267000,None,None,None,142000,None,-2535000,None,4616000,12777000,1825000,None,10952000,None,13170000,17786000
2017-09-30,USD,329901000,180056000,166259000,166259000,0,7146000,149845000,92169000,None,33899000,33899000,33899000,None,14716000,0,6651000,None,49879000,40648000,5041000,None,None,None,9231000,None,0,None,None,None,13613000,None,280022000,0,100152000,162000,16375512,12988000,None,None,None,None,4690000,3857000,-188000,3719000,None,-3857000,-1304000,None,None,None,None,0,0,None,None,None,None,-2000,None,9131000,None,4366000,44556000,73279000,28723000,28723000,7599000,17237000,0,36567000,None,None,None,17000,None,44000,None,4690000,7616000,3294000,None,4322000,None,7989000,12679000
2017-06-30,USD,324895000,173690000,157128000,157128000,0,9321000,151205000,93685000,None,33899000,33899000,33899000,None,14672000,0,7241000,None,50553000,39705000,6411000,None,None,None,10848000,None,0,None,None,None,12492000,None,274342000,0,95786000,162000,16360177,11217000,None,None,None,None,4726000,3386000,-1000,1861000,None,-1893000,-1304000,None,None,None,None,0,0,None,None,None,None,98000,None,9324000,None,3829000,42362000,72196000,29834000,29834000,6318000,16632000,0,35366000,None,None,None,15000,None,21000,None,4726000,6333000,2525000,None,3808000,None,6996000,11722000
2017-03-31,USD,320317000,165634000,147804000,147804000,1,10433000,154683000,95728000,None,-4735000,-4735000,33899000,None,14651000,0,7397000,None,51196000,39833000,4837000,None,None,None,11363000,None,0,None,None,None,11822000,None,269121000,0,91957000,162000,16320858,5054000,None,None,None,None,4744000,2297000,749000,-9771000,None,-2297000,-1304000,None,None,None,None,0,0,None,None,None,None,-1402000,None,1453000,None,4509000,46732000,75688000,28956000,28956000,8307000,17756000,0,37935000,None,None,None,11000,None,40000,None,4744000,8318000,3849000,None,4469000,None,8797000,13541000
2016-12-31,USD,320712000,163719000,146351000,146351000,0,6949000,156993000,97687000,None,-4735000,-4735000,38634000,None,14611000,0,10419000,None,56042000,42175000,6853000,None,None,559000,13867000,None,0,None,None,None,14124000,None,264670000,0,87448000,161000,16290000,13326000,None,None,None,None,4760000,5265000,-1071000,-3514000,None,-4421000,-245000,None,None,None,None,0,0,None,None,None,None,-217000,None,8660000,None,6893000,48580000,78625000,30045000,30045000,11254000,17963000,0,37226000,None,None,None,5000,None,50000,None,4760000,11259000,4416000,None,6843000,None,11354000,16114000
2016-09-30,USD,313324000,155137000,137691000,137691000,1,7060000,158187000,99155000,None,-4735000,-4735000,38634000,None,14561000,0,10386000,None,56541000,43983000,19095000,None,None,19095000,12558000,None,0,None,None,None,19095000,None,256783000,0,80556000,161000,16233000,13901000,None,None,None,None,4910000,3394000,586000,-6264000,None,-437000,135000,None,None,None,None,0,0,None,None,None,None,21000,None,13599000,None,326000,45446000,73803000,28357000,28357000,392000,17125000,0,35174000,None,None,None,37000,None,-18000,None,4910000,429000,85000,None,344000,None,10272000,15182000
2016-06-30,USD,315412000,143117000,124092000,124092000,1,9278000,172295000,107490000,None,38634000,38634000,38634000,None,17536000,0,9747000,None,60347000,44274000,22347000,None,None,22347000,16073000,None,0,None,None,None,22347000,None,255065000,0,80229000,161000,16195713,8735000,None,None,None,None,4825000,4519000,2096000,1167000,None,-4519000,-109000,None,None,None,None,0,0,None,None,None,None,7000,None,4107000,None,6596000,47559000,76745000,29186000,29186000,10660000,17090000,0,36899000,None,None,None,37000,None,71000,None,4825000,10697000,4172000,None,6525000,None,11124000,15949000
2016-03-31,USD,314398000,141162000,119985000,119985000,0,8560000,173236000,108005000,None,38634000,38634000,38634000,None,17465000,0,12617000,None,67017000,51006000,7171000,None,None,None,16011000,None,0,None,None,None,17937000,None,247381000,0,73633000,161000,16171424,20052000,None,None,None,None,4889000,3221000,-643000,9061000,None,-4171000,-1630000,None,None,None,None,0,0,None,None,None,None,-630000,None,14251000,None,10340000,54258000,83966000,29708000,29708000,15970000,16930000,0,38288000,None,None,None,37000,None,600000,None,4889000,16007000,6267000,None,9740000,None,16231000,21120000
2015-12-31,USD,303896000,131111000,105734000,105734000,0,7917000,172785000,109281000,None,44548000,44548000,38634000,None,15915000,0,12991000,None,66743000,50799000,6264000,None,None,None,15944000,None,0,None,None,None,37139000,None,237153000,0,63293000,160000,16248000,14403000,None,None,None,None,6342000,6737000,1000000,-1128000,None,-10262000,-12236000,None,None,None,None,0,0,None,None,None,None,-12246000,None,-8095000,None,9791000,56187000,85912000,29725000,29725000,15722000,18959000,0,40465000,None,None,None,37000,None,110000,None,6342000,15759000,6078000,None,9681000,None,15722000,22064000
2015-09-30,USD,311489000,141528000,113829000,113829000,1,8917000,169961000,109858000,None,38634000,38634000,38634000,None,12306000,0,18782000,None,73918000,57419000,7952000,None,None,None,16499000,None,0,None,None,None,16936000,None,237571000,0,65457000,165000,16661795,20077000,None,None,None,None,4891000,7029000,-3187000,-1042000,None,-7056000,-2916000,None,None,None,None,0,0,None,None,None,None,-3006000,None,10105000,None,6757000,47124000,76291000,29167000,29167000,10512000,17659000,0,36612000,None,None,None,37000,None,4000,None,4891000,10549000,3796000,None,6753000,None,10555000,15446000
