date,company_name,currency,total_assets,current_assets,total_liabilities,current_liabilities,total_debt,shareholder_equity,dividends_paid,net_income,operation_cash_flow,revenue,working_capital
2012-06-30,YDUQS PARTICIPACOES S.A.,BRL,569605087.3459692,257574107.98238233,569605087.3459692,76328500.0247439,255709407.63101894,336086009.79858464,0.0,34663730.39045875,30986786.757064383,501507398.4262879,366243000.0
2012-09-30,YDUQS PARTICIPACOES S.A.,BRL,610444827.586207,267361576.35467985,610444827.586207,87795566.50246307,283456157.635468,353066009.8522168,0.0,66302955.66502464,49805418.71921183,675500000.0000001,364519000.0
2012-12-31,COGNA EDUCAÇÃO S.A.,BRL,5556689020.510059,793787752.7044888,5556689020.510059,541226198.0517892,832747075.2361839,3298552058.3484263,0.0,0.0,0.0,0.0,515958000.0
2013-03-31,COGNA EDUCAÇÃO S.A.,BRL,1955100337.7707133,343456685.87323666,1955100337.7707133,181900953.70554343,286003377.70713294,1195036757.4011524,0.0,85591595.46989867,65690939.79733758,248216769.3224717,325244000.0
2013-06-30,COGNA EDUCAÇÃO S.A.,BRL,1764141309.2550793,318553498.8713319,1764141309.2550793,157000902.93453726,251468623.02483073,1113815349.8871334,-45563882.618510164,167646049.66139957,153122799.09706548,660389164.7855531,357839000.0
2013-09-30,COGNA EDUCAÇÃO S.A.,BRL,1798214317.7536557,356071588.7682784,1798214317.7536557,162668430.96797344,254713824.34735802,1146275231.0038574,-55870637.839777514,236704494.48282048,235528393.28967434,903156903.2026554,431173000.0
2012-12-31,SER EDUCACIONAL S.A.,BRL,556989084.1450878,108749816.4374174,556989084.1450878,126483430.4175437,239060159.57707182,283711390.67012584,0.0,0.0,0.0,0.0,-36228000.0
2013-03-31,SER EDUCACIONAL S.A.,BRL,225922412.08027023,52745380.4887741,225922412.08027023,54933439.30061594,82170673.55454004,115702364.39499305,0.0,19736737.53228691,13612159.745678524,53142757.79852971,-4405000.0
2013-06-30,SER EDUCACIONAL S.A.,BRL,168665462.75395036,63429796.83972913,168665462.75395036,46253724.60496615,97860948.08126412,49137697.51693003,0.0,44191422.12189617,34880812.64108352,150887133.18284425,38045000.0
2013-09-30,SER EDUCACIONAL S.A.,BRL,218984928.68036243,53538171.705391586,218984928.68036243,42298376.24472952,97311384.22894052,60463801.919799045,0.0,54151341.16802727,48081995.155647255,199071050.50686282,25058000.0
