Equation,Variable,Coefficient,Std. Error,t-stat,p-value
const,D_roa,-0.07073913292804684,0.10757201337587019,-0.6575979263386601,0.5107965273929616
const,D_debt_to_assets,0.06651098796934701,0.1375988790844821,0.4833686757616028,0.6288339854873533
const,log_total_assets,4.640654097877563,1.22683518686828,3.782622268703978,0.0001551848217295191
L1.D_roa,D_roa,-0.14753081112150326,0.08453857837529016,-1.7451300217821635,0.08096223877717079
L1.D_roa,D_debt_to_assets,-0.052759473053227576,0.10813605935951429,-0.4878989799121579,0.6256213970944076
L1.D_roa,log_total_assets,3.8867827788742644,0.9641439194433862,4.031330489661915,5.546199032519111e-05
L1.D_debt_to_assets,D_roa,0.007431499533665931,0.0633205335091246,0.11736318571281525,0.9065722559587853
L1.D_debt_to_assets,D_debt_to_assets,-0.03934775433596748,0.0809953645047359,-0.48580254656014005,0.6271071686030876
L1.D_debt_to_assets,log_total_assets,-0.24484260727568738,0.7221567777933918,-0.3390435633988283,0.7345769127887467
L1.log_total_assets,D_roa,0.0033172011597006057,0.005029689555026948,0.6595240369030754,0.509559315970214
L1.log_total_assets,D_debt_to_assets,-0.0027897492616931127,0.0064336403419021455,-0.43361908863999477,0.6645650708053308
L1.log_total_assets,log_total_assets,0.7831149827297534,0.05736250472109384,13.652036056259927,1.9631578745214737e-42
