,Coefficient,Std. Error,t-stat,p-value
const,0.03239752141782556,0.1938354853080767,0.16713926950131883,0.8674855780249424
D_roa,-0.006604521655040055,0.2351453432324457,-0.028086976183540058,0.9776301150620967
Stress_t,0.010677526313397018,0.021014332174914448,0.5081068589057119,0.612124800443179
Interaction_D_roa_Estresse,0.021434621636220213,0.3046371460881378,0.07036115559597166,0.9439999264112686
log_total_assets,-0.0015804881919043582,0.009422586592047531,-0.16773400556894405,0.8670184749004783
