Period,Response
0,0.0
1,-0.052759473053227576
2,-0.000983534749246731
3,-0.008696953976371076
4,-0.0056227715181937175
5,-0.004694788460734466
6,-0.003710740437986678
7,-0.0029646869834628964
8,-0.0023635555644900075
