,Coefficient,Std. Error,t-stat,p-value
const,-0.0363502943388831,0.17270207901721896,-0.2104797727145998,0.8335367169610515
D_roa,0.14425801254625975,0.2186269043353552,0.6598365054146316,0.5102212946984341
log_total_assets,0.0019212756253685688,0.008230478077267867,0.23343426801354683,0.8156954869080124
